date,price,pe_ratio,pe_pctile,state,strategy_value,baseline_value
2022-10-10,10926.97,23.14,0.44358974358974357,pause,132979.57008720335,125781.73836375008
2022-10-11,10791.35,23.14,0.44358974358974357,pause,131543.98901621788,124420.59933281179
2022-10-12,10785.62,23.14,0.44358974358974357,pause,131674.88505266717,124554.5343794763
2022-10-13,11033.58,23.14,0.44358974358974357,pause,134865.28973015992,127618.02691349242
2022-10-14,10692.06,23.14,0.44358974358974357,pause,130946.54878219521,123867.8939057564
2022-10-17,11062.53,23.14,0.44358974358974357,pause,135614.42755647632,128359.80198102588
2022-10-18,11147.74,23.14,0.44358974358974357,pause,136842.0625886152,129548.5033655015
2022-10-19,11103.38,23.14,0.44358974358974357,pause,136507.07972245297,129232.99335097896
2022-10-20,11046.71,23.14,0.44358974358974357,pause,136023.63790492792,128773.40737506891
2022-10-21,11310.33,23.14,0.44358974358974357,pause,139402.9026294022,132046.4712694063
2022-10-24,11430.26,23.14,0.44358974358974357,pause,141049.2618525499,133646.6367198697
2022-10-25,11669.99,23.14,0.44358974358974357,pause,144140.41249513475,136649.64454478835
2022-10-26,11405.9,23.14,0.44358974358974357,pause,141155.47955724533,133757.28502881335
2022-10-27,11191.63,23.14,0.44358974358974357,pause,138771.3772413622,131444.53518328394
2022-10-28,11546.21,23.14,0.44358974358974357,pause,143247.62216209693,135809.04055786197
2022-10-31,11405.57,23.14,0.44358974358974357,pause,141751.49974782616,134354.80220050854
2022-11-01,11288.95,24.4,0.5319693094629157,pause,140545.0592191554,133181.04735681173
2022-11-02,10906.34,24.4,0.5319693094629157,pause,136130.77169836374,128867.21741432906
2022-11-03,10690.6,24.4,0.5319693094629157,pause,133728.9411405226,126518.07503613735
2022-11-04,10857.03,24.4,0.5319693094629157,pause,135936.0916909143,128687.69350734237
2022-11-07,10977.0,24.4,0.5319693094629157,pause,137582.9333152037,130309.69036929042
2022-11-08,11059.5,24.4,0.5319693094629157,pause,138777.88566999137,131489.06082164228
2022-11-09,10797.55,24.4,0.5319693094629157,pause,135818.76119318372,128574.67414211525
2022-11-10,11605.96,24.4,0.5319693094629157,pause,145768.20886753406,138401.0294100443
2022-11-11,11817.01,24.4,0.5319693094629157,pause,148513.4778915091,141117.7998673774
2022-11-14,11700.94,24.4,0.5319693094629157,pause,147313.67037853692,139931.7010969942
2022-11-15,11871.15,24.4,0.5319693094629157,pause,149566.40783682067,142167.24480918478
2022-11-16,11699.09,24.4,0.5319693094629157,pause,147691.35932573257,140306.67812930388
2022-11-17,11676.86,24.4,0.5319693094629157,pause,147623.26489122433,140240.07470503633
2022-11-18,11677.02,24.4,0.5319693094629157,pause,147825.1944957912,140441.99631854822
2022-11-21,11553.45,24.4,0.5319693094629157,pause,146534.9367687474,139155.79371847707
2022-11-22,11724.84,24.4,0.5319693094629157,pause,148801.90506071175,141420.10450749763
2022-11-23,11838.72,24.4,0.5319693094629157,pause,150375.30111117504,142993.67732395514
2022-11-25,11756.03,24.4,0.5319693094629157,pause,149578.05735096423,142194.90826970624
2022-11-28,11587.75,24.4,0.5319693094629157,pause,147748.5957477682,140359.47971400962
2022-11-29,11503.45,24.4,0.5319693094629157,pause,146931.93534160336,139538.37517344818
2022-11-30,12030.06,24.4,0.5319693094629157,pause,153482.86697256987,146126.2243621776
2022-12-01,12041.89,22.19,0.3877551020408163,normal_buy,153825.53711023214,146469.92050618722
2022-12-02,11994.26,22.19,0.3877551020408163,normal_buy,153431.34115489954,146090.57936341732
2022-12-05,11786.8,22.19,0.3877551020408163,normal_buy,150977.4995643391,143763.70804374153
2022-12-06,11549.69,22.19,0.3877551020408163,normal_buy,148140.349962946,141071.67519222532
2022-12-07,11497.39,22.19,0.3877551020408163,normal_buy,147669.53193206704,140632.86595902912
2022-12-08,11637.5,22.19,0.3877551020408163,normal_buy,149669.0688808008,142546.65237920967
2022-12-09,11563.33,22.19,0.3877551020408163,normal_buy,148915.17372815727,141838.15096507725
2022-12-12,11706.44,22.19,0.3877551020408163,normal_buy,150958.1766098736,143793.56724953963
2022-12-13,11834.21,22.19,0.3877551020408163,normal_buy,152805.81041019576,145563.0028838976
2022-12-14,11740.92,22.19,0.3877551020408163,normal_buy,151801.23029431415,144615.5183843798
2022-12-15,11345.22,22.19,0.3877551020408163,normal_buy,146885.12807852015,139941.5936302124
2022-12-16,11243.72,22.19,0.3877551020408163,normal_buy,145771.02041908563,138889.60629515265
2022-12-19,11084.59,22.19,0.3877551020408163,normal_buy,143907.95388245105,137123.93096263392
2022-12-20,11072.42,22.19,0.3877551020408163,normal_buy,143949.954371531,137173.37977040984
2022-12-21,11235.88,22.19,0.3877551020408163,normal_buy,146275.05977229888,139398.4439079038
